食物ID,食物名称,食物种类,食物单位热量,健康评级（红绿灯）,脂肪,蛋白质,碳水化合物
100068,红枣,蔬果及菌藻,276.00 ,绿,0.50 ,3.20 ,61.60 
100069,小白菜,蔬果及菌藻,17.00 ,绿,0.30 ,1.50 ,1.60 
100070,大白菜,蔬果及菌藻,18.00 ,绿,0.80 ,1.50 ,2.40 
100071,梨,蔬果及菌藻,50.00 ,绿,0.20 ,0.40 ,10.20 
100072,柚子,蔬果及菌藻,42.00 ,绿,0.20 ,0.80 ,9.10 
100073,猕猴桃,蔬果及菌藻,61.00 ,绿,0.60 ,0.80 ,11.90 
100074,南瓜,蔬果及菌藻,23.00 ,绿,0.10 ,0.70 ,4.50 
100075,胡萝卜,蔬果及菌藻,39.00 ,绿,0.20 ,1.00 ,7.70 
100076,生菜,蔬果及菌藻,16.00 ,绿,0.40 ,1.40 ,1.50 
100077,橘子,蔬果及菌藻,44.00 ,绿,0.10 ,0.80 ,9.70 
100078,木瓜,蔬果及菌藻,29.00 ,绿,0.10 ,0.40 ,6.20 
100079,葡萄,蔬果及菌藻,44.00 ,绿,0.20 ,0.50 ,9.90 
100080,冬瓜,蔬果及菌藻,12.00 ,绿,0.20 ,0.40 ,1.90 
100081,豆浆,坚果、大豆及制品,16.00 ,绿,0.70 ,18.00 ,1.10 
100082,甜豆浆,坚果、大豆及制品,33.00 ,绿,0.50 ,2.40 ,4.90 
100083,红豆椰子蛋白饮,坚果、大豆及制品,357.00 ,黄,10.80 ,21.20 ,62.50 
100084,咖啡蛋白饮,坚果、大豆及制品,348.00 ,绿,9.50 ,20.10 ,64.50 
100085,豆腐,坚果、大豆及制品,82.00 ,绿,3.70 ,8.10 ,3.80 
100086,干核桃,坚果、大豆及制品,646.00 ,黄,58.80 ,14.80 ,9.60 
100087,巴旦木,坚果、大豆及制品,620.00 ,红,49.90 ,26.60 ,18.40 
100088,腰果,坚果、大豆及制品,581.98 ,黄,41.00 ,20.80 ,33.20 
100089,炒花生,坚果、大豆及制品,601.00 ,黄,48.00 ,21.70 ,17.50 
100090,花生仁,坚果、大豆及制品,574.00 ,黄,44.30 ,24.80 ,16.20 
100091,豆腐干,坚果、大豆及制品,142.00 ,绿,3.60 ,16.20 ,10.70 
100092,栗子,坚果、大豆及制品,214.00 ,黄,1.50 ,4.80 ,44.80 
100093,黑芝麻,坚果、大豆及制品,559.00 ,黄,46.10 ,19.10 ,10.00 
100094,素火腿,坚果、大豆及制品,228.00 ,黄,16.90 ,13.60 ,5.70 
100095,杏仁,坚果、大豆及制品,617.00 ,黄,52.80 ,22.10 ,7.50 
100096,豆腐脑,坚果、大豆及制品,48.00 ,绿,1.80 ,2.60 ,5.20 
100097,鲜核桃,坚果、大豆及制品,336.00 ,绿,29.90 ,12.80 ,1.80 
100098,豆奶,坚果、大豆及制品,30.00 ,绿,1.50 ,2.40 ,1.80 
100099,葵花籽,坚果、大豆及制品,591.00 ,红,54.10 ,22.70 ,17.90 
100100,黄豆,坚果、大豆及制品,390.00 ,黄,16.00 ,35.00 ,18.70 
100101,营养饮,饮料,353.00 ,黄,5.24 ,42.86 ,27.86 
100102,英雄马黛茶,饮料,0.00 ,绿,0.00 ,0.00 ,0.00 
100103,薄荷马黛茶,饮料,0.00 ,绿,0.00 ,0.00 ,0.00 
100104,黑芭蕾大麦粉,饮料,368.00 ,黄,0.00 ,6.80 ,79.50 
100105,薄荷味超模25,饮料,370.00 ,黄,10.00 ,33.00 ,44.00 
100106,玫瑰马黛茶,饮料,0.00 ,黄,0.00 ,0.00 ,0.00 
100107,花果茶,饮料,0.00 ,黄,0.00 ,0.00 ,0.00 
100108,玉米须茶,饮料,0.00 ,黄,0.00 ,0.00 ,0.00 
100109,雀巢咖啡,饮料,450.00 ,黄,13.00 ,7.00 ,80.00 
100110,速溶咖啡粉,饮料,218.00 ,黄,0.50 ,12.20 ,41.10 
100111,麦斯威尔咖啡,饮料,478.00 ,黄,18.46 ,2.31 ,69.23 
100112,咖啡包,饮料,0.00 ,黄,0.00 ,0.00 ,0.00 
100113,营养可可,饮料,336.00 ,黄,7.10 ,37.90 ,32.20 
100114,黑咖啡,饮料,1.00 ,黄,0.00 ,0.00 ,0.30 
100115,核桃粉,饮料,564.00 ,黄,37.40 ,13.60 ,43.90 
100116,自来水,饮料,0.00 ,绿,0.00 ,0.00 ,0.00 
100117,啤酒,饮料,32.00 ,黄,0.00 ,0.40 ,0.00 
100118,立顿原味奶茶,饮料,407.00 ,黄,6.67 ,4.00 ,82.67 
100119,百事可乐,饮料,42.00 ,黄,0.00 ,0.00 ,11.00 
100120,绿咖啡,饮料,259.00 ,黄,0.00 ,20.00 ,22.86 
100121,水果好冷,零食,395.00 ,黄,0.00 ,0.00 ,97.14 
100122,饼干,零食,435.00 ,黄,12.70 ,9.00 ,70.60 
100123,蛋糕,零食,320.00 ,黄,6.00 ,9.50 ,56.90 
100124,松仁粽子糖,零食,406.00 ,黄,0.00 ,0.00 ,100.00 
100125,牛肉干,零食,276.00 ,黄,7.10 ,48.00 ,4.40 
100126,草莓巧克力,零食,532.00 ,红,30.00 ,7.89 ,57.37 
100127,榴莲巧克力,零食,544.00 ,红,34.00 ,7.20 ,54.00 
100128,坚果巧克力,零食,599.00 ,红,43.75 ,13.13 ,37.50 
100129,巧克力爆米花,零食,521.00 ,红,25.56 ,3.33 ,70.00 
100130,巧克力咖啡豆,零食,414.00 ,黄,28.33 ,8.33 ,33.33 
100131,巧克力,零食,589.00 ,红,40.10 ,4.30 ,51.90 
100132,冰淇淋,零食,127.00 ,黄,5.30 ,2.40 ,17.30 
100133,香菇脆,零食,336.00 ,黄,12.80 ,9.70 ,45.20 
100134,鸡肉肠,零食,133.00 ,绿,3.00 ,21.20 ,4.90 
100135,阿胶枣,零食,334.00 ,黄,0.20 ,2.50 ,82.00 
100136,绿豆饼,零食,122.00 ,绿,1.2,15.20 ,12.70 
100137,苏打饼干,零食,408.00 ,黄,7.70 ,8.40 ,76.20 
100138,麻花,零食,527.00 ,绿,31.50 ,8.30 ,51.90 
100139,奶油蛋糕,零食,379.00 ,黄,13.90 ,7.20 ,55.90 
100140,地瓜干,零食,338.00 ,黄,0.10 ,2.40 ,83.90 
100141,炒青菜,菜肴,41.00 ,绿,3.03 ,1.44 ,1.56 
100142,番茄炒鸡蛋,菜肴,87.00 ,绿,5.36 ,5.00 ,4.50 
100143,炒空心菜,菜肴,46.00 ,绿,2.69 ,2.26 ,2.49 
100144,绿豆汤,菜肴,46.00 ,绿,0.07 ,1.88 ,9.18 
100145,炒素白菜,菜肴,46.00 ,绿,3.33 ,1.56 ,1.88 
100146,白粥,菜肴,30.00 ,绿,0.10 ,0.68 ,7.09 
100147,蜂蜜柠檬水,菜肴,10.00 ,绿,0.11 ,0.07 ,2.26 
100148,烧茄子,菜肴,74.00 ,绿,5.18 ,1.50 ,7.05 
100149,绿豆粥,菜肴,48.00 ,绿,0.11 ,2.07 ,9.49 
100150,粗粮粥,菜肴,47.00 ,绿,0.42 ,1.71 ,9.98 
100151,蛋炒饭,菜肴,154.00 ,绿,6.43 ,4.69 ,19.43 
100152,黑米粥,菜肴,40.00 ,绿,0.26 ,1.02 ,8.32 
100153,红烧鲫鱼,菜肴,216.00 ,绿,14.86 ,15.36 ,5.22 
100154,盐水虾,菜肴,92.00 ,绿,0.79 ,17.67 ,3.50 
100155,煎鸡蛋,菜肴,209.00 ,绿,16.79 ,11.88 ,2.50 
100156,炒豆芽,菜肴,30.00 ,绿,1.33 ,2.07 ,2.07 
100157,炒白菜,菜肴,96.00 ,绿,9.05 ,1.49 ,2.25 
100158,葱油饼,菜肴,259.00 ,黄,7.71 ,6.55 ,42.38 
100159,清炒西葫芦,菜肴,50.00 ,绿,2.84 ,1.87 ,3.85 
100160,酸辣土豆丝,菜肴,122.00 ,绿,5.77 ,2.25 ,14.43 
